Fascia,Peso
Assistente r.e.,0
Associato,0.7
Associato confermato,0.7
Associato non confermato,0.7
Incaricato,0
Ordinario r.e.,0
Ordinario,1
Ricercatore,0.5
Ricercatore a t.d. (art.1 comma 14 L. 230/05),0.5
Ricercatore a t.d. - t.defin. (art. 24 c.3-a L. 240/10),0
Ricercatore a t.d. - t.defin. (art. 24 c.3-b L. 240/10),0.7
Ricercatore a t.d. - t.defin. (L. 79/2022),0.7
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),0
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),0.7
Ricercatore a t.d. - t.pieno (L. 79/2022),0.7
Ricercatore non confermato,0.5
Straordinario,1
Straordinario tempo determinato,1